purchase_date,appliance,capture_date,energy,Warranty_date
2015-08-10,Fridge,2017-08-10,.071,
2013-08-11,Fridge,2017-08-11,.078,
2014-08-11,Fridge,2017-08-11,.078,
2015-08-11,Fridge,2017-08-11,.078,
2013-08-12,Fridge,2017-08-12,.065,
2014-08-12,Fridge,2017-08-12,.065,
2015-08-12,Fridge,2017-08-12,.065,
2015-08-13,Fridge,2017-08-13,.086,
2014-08-14,Fridge,2017-08-14,.075,
2013-08-15,Fridge,2017-08-15,.068,
2014-08-15,Fridge,2017-08-15,.068,
2013-08-16,Fridge,2017-08-16,.082,
2014-08-16,Fridge,2017-08-16,.082,
2013-08-17,Fridge,2017-08-17,.068,
2013-08-18,Fridge,2017-08-18,.081,
2015-08-18,Fridge,2017-08-18,.081,
2013-08-19,Fridge,2017-08-19,.063,
2014-08-19,Fridge,2017-08-19,.063,
2015-08-19,Fridge,2017-08-19,.063,
2013-08-20,Fridge,2017-08-20,.051,
2014-08-20,Fridge,2017-08-20,.051,
2015-08-20,Fridge,2017-08-20,.051,
2014-08-21,Fridge,2017-08-21,.050,
2014-08-22,Fridge,2017-08-22,.053,
2014-08-23,Fridge,2017-08-23,.056,
2014-08-24,Fridge,2017-08-24,.066,
2015-08-24,Fridge,2017-08-24,.066,
2014-08-25,Fridge,2017-08-25,.063,
2015-08-25,Fridge,2017-08-25,.063,
2013-08-26,Fridge,2017-08-26,.061,
2014-08-26,Fridge,2017-08-26,.061,
2013-08-27,Fridge,2017-08-27,.068,
2014-08-27,Fridge,2017-08-27,.068,
2015-08-27,Fridge,2017-08-27,.068,
2013-08-28,Fridge,2017-08-28,.066,
2015-08-28,Fridge,2017-08-28,.066,
2014-08-29,Fridge,2017-08-29,.063,
2015-08-29,Fridge,2017-08-29,.063,
2013-08-30,Fridge,2017-08-30,.074,
2014-08-30,Fridge,2017-08-30,.074,
2015-08-30,Fridge,2017-08-30,.074,
2013-08-31,Fridge,2017-08-31,.061,
2014-08-31,Fridge,2017-08-31,.061,
2015-08-31,Fridge,2017-08-31,.061,
2013-09-01,Fridge,2017-09-01,.075,
2014-09-01,Fridge,2017-09-01,.075,
2015-09-01,Fridge,2017-09-01,.075,
2013-09-02,Fridge,2017-09-02,.054,
2014-09-02,Fridge,2017-09-02,.054,
2015-09-02,Fridge,2017-09-02,.054,
2015-09-03,Fridge,2017-09-03,.081,
2013-09-04,Fridge,2017-09-04,.087,
2014-09-04,Fridge,2017-09-04,.087,
2015-09-04,Fridge,2017-09-04,.087,
2013-09-05,Fridge,2017-09-05,.066,
2014-09-05,Fridge,2017-09-05,.066,
2015-09-05,Fridge,2017-09-05,.066,
2013-09-06,Fridge,2017-09-06,.059,
2015-09-06,Fridge,2017-09-06,.059,
2013-09-07,Fridge,2017-09-07,.074,
2015-09-07,Fridge,2017-09-07,.074,
2014-09-08,Fridge,2017-09-08,.082,
2015-09-08,Fridge,2017-09-08,.082,
2015-09-09,Fridge,2017-09-09,.057,
2013-09-10,Fridge,2017-09-10,.063,
2015-09-10,Fridge,2017-09-10,.063,
2014-09-11,Fridge,2017-09-11,.054,
2015-09-11,Fridge,2017-09-11,.054,
2013-09-12,Fridge,2017-09-12,.064,
2015-09-12,Fridge,2017-09-12,.064,
2013-09-13,Fridge,2017-09-13,.070,
2015-09-13,Fridge,2017-09-13,.070,
2013-09-14,Fridge,2017-09-14,.081,
2015-09-14,Fridge,2017-09-14,.081,
2013-09-15,Fridge,2017-09-15,.064,
2015-09-15,Fridge,2017-09-15,.064,
2014-09-16,Fridge,2017-09-16,.085,
2015-09-16,Fridge,2017-09-16,.085,
2015-09-17,Fridge,2017-09-17,.083,
2013-09-18,Fridge,2017-09-18,.058,
2014-09-18,Fridge,2017-09-18,.058,
2015-09-18,Fridge,2017-09-18,.058,
2011-05-11,Fridge,2015-05-11,.072,
2012-05-11,Fridge,2015-05-11,.072,
2013-05-11,Fridge,2015-05-11,.072,
2011-05-12,Fridge,2015-05-12,.057,
2012-05-12,Fridge,2015-05-12,.057,
2013-05-12,Fridge,2015-05-12,.057,
2011-05-13,Fridge,2015-05-13,.086,
2012-05-13,Fridge,2015-05-13,.086,
2013-05-13,Fridge,2015-05-13,.086,
2011-05-14,Fridge,2015-05-14,.058,
2012-05-14,Fridge,2015-05-14,.058,
2011-05-15,Fridge,2015-05-15,.066,
2012-05-15,Fridge,2015-05-15,.066,
2011-05-16,Fridge,2015-05-16,.070,
2012-05-16,Fridge,2015-05-16,.070,
2013-05-16,Fridge,2015-05-16,.070,
2011-05-17,Fridge,2015-05-17,.086,
2011-05-18,Fridge,2015-05-18,.064,
2013-05-18,Fridge,2015-05-18,.064,
2011-05-19,Fridge,2015-05-19,.068,
2012-05-19,Fridge,2015-05-19,.068,
2013-05-19,Fridge,2015-05-19,.068,
2011-05-20,Fridge,2015-05-20,.080,
2012-05-20,Fridge,2015-05-20,.080,
2012-05-21,Fridge,2015-05-21,.078,
2012-05-22,Fridge,2015-05-22,.084,
2012-05-23,Fridge,2015-05-23,.064,
2013-05-23,Fridge,2015-05-23,.064,
2011-05-24,Fridge,2015-05-24,.074,
2013-05-24,Fridge,2015-05-24,.074,
2011-05-25,Fridge,2015-05-25,.060,
2013-05-25,Fridge,2015-05-25,.060,
2011-05-26,Fridge,2015-05-26,.071,
2013-05-26,Fridge,2015-05-26,.071,
2011-05-27,Fridge,2015-05-27,.060,
2012-05-27,Fridge,2015-05-27,.060,
2013-05-27,Fridge,2015-05-27,.060,
2011-05-28,Fridge,2015-05-28,.085,
2012-05-28,Fridge,2015-05-28,.085,
2013-05-29,Fridge,2015-05-29,.067,
2012-05-30,Fridge,2015-05-30,.069,
2013-05-30,Fridge,2015-05-30,.069,
2012-05-31,Fridge,2015-05-31,.072,
2013-05-31,Fridge,2015-05-31,.072,
2012-06-01,Fridge,2015-06-01,.072,
2013-06-01,Fridge,2015-06-01,.072,
2011-06-02,Fridge,2015-06-02,.060,
2012-06-02,Fridge,2015-06-02,.060,
2013-06-02,Fridge,2015-06-02,.060,
2011-06-03,Fridge,2015-06-03,.089,
2012-06-03,Fridge,2015-06-03,.089,
2013-06-03,Fridge,2015-06-03,.089,
2011-06-04,Fridge,2015-06-04,.067,
2013-06-04,Fridge,2015-06-04,.067,
2011-06-06,Fridge,2015-06-06,.062,
2012-06-06,Fridge,2015-06-06,.062,
2011-06-07,Fridge,2015-06-07,.052,
2012-06-07,Fridge,2015-06-07,.052,
2013-06-07,Fridge,2015-06-07,.052,
2012-06-08,Fridge,2015-06-08,.080,
2013-06-08,Fridge,2015-06-08,.080,
2011-06-09,Fridge,2015-06-09,.075,
2012-06-09,Fridge,2015-06-09,.075,
2013-06-09,Fridge,2015-06-09,.075,
2011-06-10,Fridge,2015-06-10,.063,
2012-06-10,Fridge,2015-06-10,.063,
2013-06-10,Fridge,2015-06-10,.063,
2012-06-11,Fridge,2015-06-11,.090,
2013-06-11,Fridge,2015-06-11,.090,
2012-06-12,Fridge,2015-06-12,.067,
2013-06-12,Fridge,2015-06-12,.067,
2011-06-13,Fridge,2015-06-13,.062,
2012-06-13,Fridge,2015-06-13,.062,
2013-06-13,Fridge,2015-06-13,.062,
2011-06-14,Fridge,2015-06-14,.077,
2012-06-14,Fridge,2015-06-14,.077,
2012-06-16,Fridge,2015-06-16,.061,
2012-06-17,Fridge,2015-06-17,.080,
2013-06-17,Fridge,2015-06-17,.080,
2012-06-18,Fridge,2015-06-18,.073,
2012-06-19,Fridge,2015-06-19,.061,
2011-06-20,Fridge,2015-06-20,.071,
2013-06-20,Fridge,2015-06-20,.071,
2011-06-21,Fridge,2015-06-21,.067,
2012-06-21,Fridge,2015-06-21,.067,
2013-06-21,Fridge,2015-06-21,.067,
2011-06-22,Fridge,2015-06-22,.064,
2012-06-22,Fridge,2015-06-22,.064,
2011-06-23,Fridge,2015-06-23,.051,
2012-06-23,Fridge,2015-06-23,.051,
2011-06-24,Fridge,2015-06-24,.071,
2012-06-25,Fridge,2015-06-25,.090,
2013-06-25,Fridge,2015-06-25,.090,
2012-06-26,Fridge,2015-06-26,.060,
2013-06-26,Fridge,2015-06-26,.060,
2012-06-27,Fridge,2015-06-27,.076,
2013-06-27,Fridge,2015-06-27,.076,
2011-06-28,Fridge,2015-06-28,.066,
2012-06-28,Fridge,2015-06-28,.066,
2011-06-29,Fridge,2015-06-29,.061,
2012-07-01,Fridge,2015-07-01,.073,
2011-07-02,Fridge,2015-07-02,.054,
2011-07-03,Fridge,2015-07-03,.062,
2013-07-04,Fridge,2015-07-04,.059,
2013-07-05,Fridge,2015-07-05,.056,
2011-07-06,Fridge,2015-07-06,.087,
2013-07-06,Fridge,2015-07-06,.087,
2011-07-07,Fridge,2015-07-07,.085,
2012-07-07,Fridge,2015-07-07,.085,
2013-07-07,Fridge,2015-07-07,.085,
2013-07-08,Fridge,2015-07-08,.075,
2011-07-09,Fridge,2015-07-09,.064,
2012-07-09,Fridge,2015-07-09,.064,
2013-07-09,Fridge,2015-07-09,.064,
2012-07-10,Fridge,2015-07-10,.086,
2013-07-10,Fridge,2015-07-10,.086,
2011-07-11,Fridge,2015-07-11,.054,
2012-07-11,Fridge,2015-07-11,.054,
2011-07-12,Fridge,2015-07-12,.076,
2012-07-12,Fridge,2015-07-12,.076,
2012-07-13,Fridge,2015-07-13,.084,
2013-07-13,Fridge,2015-07-13,.084,
2011-07-14,Fridge,2015-07-14,.084,
2012-07-14,Fridge,2015-07-14,.084,
2013-07-14,Fridge,2015-07-14,.084,
2011-07-15,Fridge,2015-07-15,.081,
2012-07-15,Fridge,2015-07-15,.081,
2013-07-15,Fridge,2015-07-15,.081,
2011-07-16,Fridge,2015-07-16,.078,
2013-07-16,Fridge,2015-07-16,.078,
2011-07-17,Fridge,2015-07-17,.065,
2011-07-19,Fridge,2015-07-19,.089,
2012-07-19,Fridge,2015-07-19,.089,
2011-07-20,Fridge,2015-07-20,.056,
2012-07-20,Fridge,2015-07-20,.056,
2013-07-20,Fridge,2015-07-20,.056,
2012-07-21,Fridge,2015-07-21,.061,
2011-07-22,Fridge,2015-07-22,.087,
2012-07-22,Fridge,2015-07-22,.087,
2013-07-22,Fridge,2015-07-22,.087,
2012-07-23,Fridge,2015-07-23,.061,
2013-07-23,Fridge,2015-07-23,.061,
2011-07-24,Fridge,2015-07-24,.072,
2012-07-24,Fridge,2015-07-24,.072,
2013-07-24,Fridge,2015-07-24,.072,
2011-07-25,Fridge,2015-07-25,.063,
2012-07-25,Fridge,2015-07-25,.063,
2013-07-25,Fridge,2015-07-25,.063,
2011-07-26,Fridge,2015-07-26,.071,
2012-07-26,Fridge,2015-07-26,.071,
2013-07-26,Fridge,2015-07-26,.071,
2011-07-27,Fridge,2015-07-27,.067,
2012-07-27,Fridge,2015-07-27,.067,
2011-07-28,Fridge,2015-07-28,.059,
2011-07-29,Fridge,2015-07-29,.052,
2013-07-29,Fridge,2015-07-29,.052,
2011-07-30,Fridge,2015-07-30,.079,
2013-07-30,Fridge,2015-07-30,.079,
2011-07-31,Fridge,2015-07-31,.077,
2012-07-31,Fridge,2015-07-31,.077,
2013-07-31,Fridge,2015-07-31,.077,
2011-08-01,Fridge,2015-08-01,.062,
2012-08-01,Fridge,2015-08-01,.062,
2013-08-01,Fridge,2015-08-01,.062,
2011-08-02,Fridge,2015-08-02,.065,
2013-08-02,Fridge,2015-08-02,.065,
2011-08-03,Fridge,2015-08-03,.074,
2012-08-03,Fridge,2015-08-03,.074,
2013-08-03,Fridge,2015-08-03,.074,
2011-08-04,Fridge,2015-08-04,.063,
2013-08-04,Fridge,2015-08-04,.063,
2011-08-05,Fridge,2015-08-05,.051,
2013-08-05,Fridge,2015-08-05,.051,
2011-08-06,Fridge,2015-08-06,.058,
2012-08-06,Fridge,2015-08-06,.058,
2013-08-06,Fridge,2015-08-06,.058,
2011-08-07,Fridge,2015-08-07,.072,
2012-08-07,Fridge,2015-08-07,.072,
2013-08-07,Fridge,2015-08-07,.072,
2011-08-08,Fridge,2015-08-08,.089,
2012-08-08,Fridge,2015-08-08,.089,
2013-08-08,Fridge,2015-08-08,.089,
2012-08-09,Fridge,2015-08-09,.080,
2013-08-09,Fridge,2015-08-09,.080,
2011-08-10,Fridge,2015-08-10,.080,
2011-08-11,Fridge,2015-08-11,.082,
2012-08-11,Fridge,2015-08-11,.082,
2013-08-11,Fridge,2015-08-11,.082,
2011-08-12,Fridge,2015-08-12,.052,
2012-08-12,Fridge,2015-08-12,.052,
2013-08-12,Fridge,2015-08-12,.052,
2011-08-13,Fridge,2015-08-13,.085,
2012-08-13,Fridge,2015-08-13,.085,
2013-08-13,Fridge,2015-08-13,.085,
2011-08-14,Fridge,2015-08-14,.056,
2013-08-14,Fridge,2015-08-14,.056,
2011-08-15,Fridge,2015-08-15,.068,
2012-08-15,Fridge,2015-08-15,.068,
2013-08-15,Fridge,2015-08-15,.068,
2011-08-16,Fridge,2015-08-16,.073,
2012-08-16,Fridge,2015-08-16,.073,
2011-08-17,Fridge,2015-08-17,.072,
2012-08-17,Fridge,2015-08-17,.072,
2011-08-18,Fridge,2015-08-18,.080,
2012-08-19,Fridge,2015-08-19,.075,
2012-08-20,Fridge,2015-08-20,.079,
2013-08-20,Fridge,2015-08-20,.079,
2012-08-21,Fridge,2015-08-21,.067,
2013-08-21,Fridge,2015-08-21,.067,
2011-08-22,Fridge,2015-08-22,.082,
2012-08-22,Fridge,2015-08-22,.082,
2013-08-22,Fridge,2015-08-22,.082,
2013-08-23,Fridge,2015-08-23,.087,
2013-08-24,Fridge,2015-08-24,.069,
2011-08-25,Fridge,2015-08-25,.071,
2012-08-25,Fridge,2015-08-25,.071,
2013-08-25,Fridge,2015-08-25,.071,
2011-08-26,Fridge,2015-08-26,.076,
2013-08-26,Fridge,2015-08-26,.076,
2011-08-27,Fridge,2015-08-27,.079,
2013-08-27,Fridge,2015-08-27,.079,
2011-08-28,Fridge,2015-08-28,.067,
2013-08-28,Fridge,2015-08-28,.067,
2011-08-29,Fridge,2015-08-29,.057,
2013-08-29,Fridge,2015-08-29,.057,
2012-08-30,Fridge,2015-08-30,.082,
2011-08-31,Fridge,2015-08-31,.064,
2012-08-31,Fridge,2015-08-31,.064,
2012-09-01,Fridge,2015-09-01,.090,
2012-09-02,Fridge,2015-09-02,.089,
2013-09-02,Fridge,2015-09-02,.089,
2012-09-03,Fridge,2015-09-03,.058,
2013-09-03,Fridge,2015-09-03,.058,
2012-09-04,Fridge,2015-09-04,.075,
2013-09-04,Fridge,2015-09-04,.075,
2011-12-28,Fridge,2015-12-28,.061,
2012-12-28,Fridge,2015-12-28,.061,
2011-12-29,Fridge,2015-12-29,.077,
2012-12-29,Fridge,2015-12-29,.077,
2013-12-29,Fridge,2015-12-29,.077,
2011-12-30,Fridge,2015-12-30,.075,
2012-12-30,Fridge,2015-12-30,.075,
2013-12-30,Fridge,2015-12-30,.075,
2012-12-31,Fridge,2015-12-31,.088,
2012-01-01,Fridge,2016-01-01,.057,
2013-01-01,Fridge,2016-01-01,.057,
2012-01-02,Fridge,2016-01-02,.081,
2013-01-02,Fridge,2016-01-02,.081,
2012-01-03,Fridge,2016-01-03,.063,
2013-01-03,Fridge,2016-01-03,.063,
2014-01-03,Fridge,2016-01-03,.063,
2012-01-04,Fridge,2016-01-04,.060,
2013-01-04,Fridge,2016-01-04,.060,
2012-01-05,Fridge,2016-01-05,.083,
2013-01-05,Fridge,2016-01-05,.083,
2013-01-07,Fridge,2016-01-07,.075,
2014-01-07,Fridge,2016-01-07,.075,
2013-01-08,Fridge,2016-01-08,.081,
2014-01-08,Fridge,2016-01-08,.081,
2013-01-09,Fridge,2016-01-09,.087,
2014-01-09,Fridge,2016-01-09,.087,
2012-01-10,Fridge,2016-01-10,.074,
2012-01-12,Fridge,2016-01-12,.069,
2013-01-12,Fridge,2016-01-12,.069,
2014-01-12,Fridge,2016-01-12,.069,
2012-01-13,Fridge,2016-01-13,.073,
2013-01-13,Fridge,2016-01-13,.073,
2014-01-13,Fridge,2016-01-13,.073,
2012-01-14,Fridge,2016-01-14,.051,
2014-01-14,Fridge,2016-01-14,.051,
2012-01-15,Fridge,2016-01-15,.051,
2014-01-17,Fridge,2016-01-17,.072,
2012-01-18,Fridge,2016-01-18,.081,
2014-01-18,Fridge,2016-01-18,.081,
2012-01-19,Fridge,2016-01-19,.075,
2014-01-19,Fridge,2016-01-19,.075,
2012-01-20,Fridge,2016-01-20,.076,
2012-01-21,Fridge,2016-01-21,.089,
2013-01-21,Fridge,2016-01-21,.089,
2012-01-22,Fridge,2016-01-22,.072,
2013-01-22,Fridge,2016-01-22,.072,
2014-01-22,Fridge,2016-01-22,.072,
2013-01-23,Fridge,2016-01-23,.077,
2014-01-23,Fridge,2016-01-23,.077,
2013-01-24,Fridge,2016-01-24,.055,
2013-01-25,Fridge,2016-01-25,.075,
2012-01-26,Fridge,2016-01-26,.054,
2013-01-26,Fridge,2016-01-26,.054,
2012-01-27,Fridge,2016-01-27,.084,
2013-01-27,Fridge,2016-01-27,.084,
2012-01-28,Fridge,2016-01-28,.063,
2013-01-28,Fridge,2016-01-28,.063,
2012-01-29,Fridge,2016-01-29,.058,
2013-01-29,Fridge,2016-01-29,.058,
2014-01-29,Fridge,2016-01-29,.058,
2012-01-30,Fridge,2016-01-30,.078,
2013-01-30,Fridge,2016-01-30,.078,
2012-01-31,Fridge,2016-01-31,.061,
2013-01-31,Fridge,2016-01-31,.061,
2014-01-31,Fridge,2016-01-31,.061,
2012-02-01,Fridge,2016-02-01,.056,
2013-02-01,Fridge,2016-02-01,.056,
2014-02-01,Fridge,2016-02-01,.056,
2013-02-02,Fridge,2016-02-02,.052,
2013-02-03,Fridge,2016-02-03,.061,
2014-02-03,Fridge,2016-02-03,.061,
2013-02-04,Fridge,2016-02-04,.061,
2014-02-04,Fridge,2016-02-04,.061,
2013-02-05,Fridge,2016-02-05,.068,
2014-02-05,Fridge,2016-02-05,.068,
2014-02-06,Fridge,2016-02-06,.077,
2013-02-07,Fridge,2016-02-07,.074,
2012-02-08,Fridge,2016-02-08,.051,
2013-02-08,Fridge,2016-02-08,.051,
2014-02-08,Fridge,2016-02-08,.051,
2012-02-09,Fridge,2016-02-09,.076,
2013-02-09,Fridge,2016-02-09,.076,
2014-02-09,Fridge,2016-02-09,.076,
2013-02-10,Fridge,2016-02-10,.079,
2013-02-11,Fridge,2016-02-11,.080,
2012-02-13,Fridge,2016-02-13,.069,
2013-02-13,Fridge,2016-02-13,.069,
2014-02-13,Fridge,2016-02-13,.069,
2012-02-14,Fridge,2016-02-14,.081,
2014-02-14,Fridge,2016-02-14,.081,
2012-02-16,Fridge,2016-02-16,.076,
2012-02-17,Fridge,2016-02-17,.057,
2013-02-17,Fridge,2016-02-17,.057,
2012-02-18,Fridge,2016-02-18,.060,
2013-02-18,Fridge,2016-02-18,.060,
2012-02-19,Fridge,2016-02-19,.058,
2013-02-19,Fridge,2016-02-19,.058,
2014-02-19,Fridge,2016-02-19,.058,
2012-02-20,Fridge,2016-02-20,.064,
2014-02-20,Fridge,2016-02-20,.064,
2012-02-21,Fridge,2016-02-21,.071,
2013-02-21,Fridge,2016-02-21,.071,
2014-02-21,Fridge,2016-02-21,.071,
2012-02-22,Fridge,2016-02-22,.077,
2013-02-22,Fridge,2016-02-22,.077,
2014-02-22,Fridge,2016-02-22,.077,
2012-02-23,Fridge,2016-02-23,.088,
2013-02-23,Fridge,2016-02-23,.088,
2012-02-24,Fridge,2016-02-24,.066,
2014-02-24,Fridge,2016-02-24,.066,
2012-02-25,Fridge,2016-02-25,.062,
2014-02-25,Fridge,2016-02-25,.062,
2012-02-26,Fridge,2016-02-26,.064,
2014-02-26,Fridge,2016-02-26,.064,
2012-02-27,Fridge,2016-02-27,.075,
2014-02-27,Fridge,2016-02-27,.075,
2012-02-28,Fridge,2016-02-28,.074,
2013-02-28,Fridge,2016-02-28,.074,
2014-02-28,Fridge,2016-02-28,.074,
2012-02-29,Fridge,2016-02-29,.052,
2012-03-01,Fridge,2016-03-01,.073,
2013-03-01,Fridge,2016-03-01,.073,
2014-03-01,Fridge,2016-03-01,.073,
2012-03-02,Fridge,2016-03-02,.071,
2013-03-02,Fridge,2016-03-02,.071,
2014-03-02,Fridge,2016-03-02,.071,
2012-03-03,Fridge,2016-03-03,.081,
2013-03-03,Fridge,2016-03-03,.081,
2014-03-03,Fridge,2016-03-03,.081,
2012-03-04,Fridge,2016-03-04,.089,
2014-03-04,Fridge,2016-03-04,.089,
2013-03-05,Fridge,2016-03-05,.052,
2014-03-05,Fridge,2016-03-05,.052,
2012-03-06,Fridge,2016-03-06,.060,
2013-03-06,Fridge,2016-03-06,.060,
2012-03-07,Fridge,2016-03-07,.090,
2012-03-08,Fridge,2016-03-08,.060,
