purchase_date,type,capture_date,energy,warranty_date
2010-06-26,Microwave,2012-06-26,.004,
2010-09-08,Garage door,2014-09-08,.013,
2012-09-08,Wine Cellar,2016-09-08,.007,
2014-12-09,Furnace,2017-12-09,.020,
2012-09-05,Dish Washer,2015-09-05,.001,
2012-08-19,Wine Cellar,2014-08-19,.045,
2012-10-28,Microwave,2014-10-28,.004,
2015-07-17,Fridge,2018-07-17,.079,
2011-04-27,Furnace,2013-04-27,.046,
2014-03-09,Dish Washer,2016-03-09,.001,
2012-11-28,Wine Cellar,2016-11-28,.007,
2010-05-20,Furnace,2012-05-20,.178,
2015-11-16,Furnace,2018-11-16,.218,
2014-03-20,Wine Cellar,2018-03-20,.094,
2011-08-23,Furnace,2015-08-23,.355,
2012-03-12,Furnace,2015-03-12,.294,
2012-02-08,Garage door,2014-02-08,.013,
2015-04-16,Fridge,2018-04-16,.064,
2011-03-04,Furnace,2015-03-04,.123,
2016-07-25,Furnace,2020-07-25,.154,
2010-06-30,Microwave,2013-06-30,.008,
2014-06-19,Garage door,2018-06-19,.013,
2013-07-30,Wine Cellar,2016-07-30,.029,
2012-04-26,Fridge,2015-04-26,.057,
2014-01-18,Furnace,2018-01-18,.021,
2014-11-28,Fridge,2018-11-28,.051,
2011-10-15,Dish Washer,2015-10-15,.001,
2010-09-07,Microwave,2012-09-07,.004,
2014-07-23,Furnace,2018-07-23,.021,
2014-02-18,Furnace,2016-02-18,.036,
2014-08-13,Furnace,2018-08-13,.020,
2016-04-01,Furnace,2018-04-01,.163,
2016-02-17,Garage door,2019-02-17,.013,
2011-08-31,Furnace,2015-08-31,.063,
2012-06-15,Fridge,2014-06-15,.005,
2014-11-20,Garage door,2016-11-20,.013,
2014-02-09,Wine Cellar,2016-02-09,.100,
2014-08-23,Fridge,2018-08-23,.142,
2011-07-17,Dish Washer,2014-07-17,.376,
2014-02-18,Fridge,2018-02-18,.137,
2015-06-20,Fridge,2018-06-20,.084,
2013-02-12,Garage door,2015-02-12,.013,
2012-04-17,Fridge,2014-04-17,.193,
2013-04-10,Furnace,2017-04-10,.020,
2014-06-12,Microwave,2016-06-12,.004,
2012-10-20,Fridge,2014-10-20,.106,
2011-10-15,Dish Washer,2013-10-15,.001,
2013-05-17,Microwave,2017-05-17,.003,
2013-04-02,Dish Washer,2016-04-02,.001,
2014-03-14,Furnace,2017-03-14,.019,
2016-03-29,Garage door,2019-03-29,.013,
2015-11-11,Dish Washer,2017-11-11,.001,
2010-08-02,Wine Cellar,2014-08-02,.007,
2010-11-16,Dish Washer,2013-11-16,.001,
2014-01-29,Fridge,2016-01-29,.045,
2011-05-21,Microwave,2013-05-21,.004,
2012-02-16,Fridge,2016-02-16,.055,
2013-09-22,Wine Cellar,2015-09-22,.069,
2013-08-21,Furnace,2015-08-21,.021,
2013-12-19,Dish Washer,2015-12-19,.001,
2012-08-20,Fridge,2016-08-20,.013,
2015-09-27,Furnace,2019-09-27,.103,
2013-04-23,Furnace,2017-04-23,.020,
2010-05-29,Furnace,2013-05-29,.020,
2010-10-30,Furnace,2013-10-30,.020,
2014-04-16,Wine Cellar,2018-04-16,.074,
2011-03-26,Fridge,2014-03-26,.014,
2014-12-13,Furnace,2016-12-13,.021,
2014-11-19,Fridge,2017-11-19,.116,
2010-06-22,Microwave,2013-06-22,.004,
2012-10-31,Wine Cellar,2014-10-31,.008,
2012-09-22,Furnace,2015-09-22,.237,
2013-12-22,Garage door,2016-12-22,.013,
2011-03-04,Furnace,2013-03-04,.218,
2013-03-12,Microwave,2015-03-12,.004,
2010-05-29,Dish Washer,2014-05-29,.001,
2010-08-18,Furnace,2013-08-18,.020,
2012-06-11,Microwave,2015-06-11,.004,
2010-12-03,Fridge,2013-12-03,.057,
2012-10-26,Fridge,2015-10-26,.043,
2012-11-25,Microwave,2015-11-25,.027,
2016-06-11,Wine Cellar,2020-06-11,.008,
2010-09-16,Garage door,2014-09-16,.013,
2013-04-27,Microwave,2015-04-27,.004,
2013-05-21,Fridge,2016-05-21,.080,
2011-06-20,Dish Washer,2014-06-20,.001,
2012-08-31,Wine Cellar,2016-08-31,.038,
2014-05-26,Furnace,2017-05-26,.033,
2011-03-12,Furnace,2015-03-12,.317,
2010-12-13,Dish Washer,2013-12-13,.001,
2016-10-06,Microwave,2018-10-06,.003,
2011-12-27,Wine Cellar,2015-12-27,.079,
2013-12-24,Wine Cellar,2017-12-24,.127,
2013-01-21,Fridge,2017-01-21,.052,
2011-02-27,Furnace,2013-02-27,.020,
2010-08-04,Dish Washer,2014-08-04,.443,
2012-01-12,Dish Washer,2016-01-12,.001,
2013-01-05,Wine Cellar,2017-01-05,.033,
2012-05-31,Dish Washer,2016-05-31,.001,
2010-04-13,Furnace,2013-04-13,.118,
2012-10-29,Microwave,2015-10-29,.004,
2011-02-13,Dish Washer,2014-02-13,.001,
2013-01-04,Furnace,2015-01-04,.058,
2013-08-28,Furnace,2017-08-28,.042,
2016-04-19,Dish Washer,2018-04-19,.001,
2010-10-03,Furnace,2013-10-03,.020,
2015-09-05,Fridge,2017-09-05,.042,
2013-05-04,Garage door,2015-05-04,.013,
2014-07-18,Microwave,2017-07-18,.004,
2013-08-10,Microwave,2016-08-10,.004,
2015-10-02,Fridge,2017-10-02,.052,
2012-06-08,Fridge,2015-06-08,.044,
2016-01-09,Furnace,2019-01-09,.166,
2010-04-29,Garage door,2014-04-29,.013,
2012-11-06,Wine Cellar,2015-11-06,.008,
2010-03-17,Dish Washer,2014-03-17,.001,
2011-06-18,Wine Cellar,2014-06-18,.029,
2014-11-08,Dish Washer,2017-11-08,.001,
2010-12-07,Wine Cellar,2014-12-07,.006,
2011-09-01,Furnace,2013-09-01,.184,
2016-06-20,Dish Washer,2018-06-20,.410,
2010-01-04,Fridge,2014-01-04,.040,
2011-08-15,Wine Cellar,2013-08-15,.007,
2011-11-23,Garage door,2014-11-23,.013,
2014-10-24,Garage door,2016-10-24,.013,
2013-05-18,Wine Cellar,2015-05-18,.052,
2011-06-19,Fridge,2013-06-19,.051,
2011-01-03,Wine Cellar,2015-01-03,.007,
2014-12-30,Garage door,2018-12-30,.013,
2015-01-28,Wine Cellar,2018-01-28,.134,
2012-12-19,Garage door,2016-12-19,.013,
2012-02-29,Furnace,2014-02-28,.151,
2010-09-16,Wine Cellar,2013-09-16,.008,
2014-04-29,Dish Washer,2018-04-29,.001,
2010-05-22,Wine Cellar,2012-05-22,.050,
2014-02-14,Fridge,2016-02-14,.141,
2010-07-21,Fridge,2013-07-21,.051,
2013-02-06,Fridge,2017-02-06,.029,
2010-02-26,Furnace,2012-02-26,.171,
2013-04-04,Wine Cellar,2017-04-04,.140,
2014-07-09,Fridge,2016-07-09,.005,
2010-11-14,Wine Cellar,2013-11-14,.082,
2015-05-15,Fridge,2017-05-15,.055,
2010-07-09,Fridge,2014-07-09,.005,
2014-05-11,Dish Washer,2017-05-11,.001,
2016-08-26,Dish Washer,2018-08-26,.001,
2014-06-29,Fridge,2017-06-29,.046,
2010-11-30,Dish Washer,2013-11-30,.001,
2015-05-31,Wine Cellar,2017-05-31,.104,
2012-04-02,Wine Cellar,2015-04-02,.007,
2014-12-01,Wine Cellar,2018-12-01,.090,
2011-11-11,Furnace,2014-11-11,.306,
2014-07-25,Wine Cellar,2016-07-25,.037,
2012-07-17,Furnace,2015-07-17,.020,
2014-01-18,Garage door,2016-01-18,.013,
2016-02-06,Fridge,2018-02-06,.050,
2010-01-14,Dish Washer,2014-01-14,.001,
2013-07-11,Microwave,2015-07-11,.004,
2013-06-06,Wine Cellar,2015-06-06,.008,
2011-06-25,Furnace,2015-06-25,.072,
2012-06-01,Furnace,2016-06-01,.321,
2011-07-03,Dish Washer,2014-07-03,.001,
2014-01-06,Furnace,2017-01-06,.270,
2013-08-24,Furnace,2016-08-24,.020,
2016-10-29,Wine Cellar,2019-10-29,.008,
2011-10-24,Fridge,2013-10-24,.038,
2016-03-12,Furnace,2020-03-12,.300,
2012-09-13,Furnace,2014-09-13,.181,
2010-06-16,Fridge,2013-06-16,.066,
2013-06-01,Wine Cellar,2016-06-01,.057,
2016-09-26,Furnace,2018-09-26,.271,
2012-03-11,Dish Washer,2016-03-11,.001,
2015-06-04,Wine Cellar,2018-06-04,.074,
2010-06-20,Garage door,2012-06-20,.013,
2010-11-24,Wine Cellar,2012-11-24,.007,
2013-11-23,Fridge,2015-11-23,.107,
2010-10-16,Furnace,2013-10-16,.027,
2015-09-04,Furnace,2018-09-04,.021,
2013-11-24,Wine Cellar,2017-11-24,.016,
2010-02-13,Furnace,2012-02-13,.191,
2011-03-14,Microwave,2015-03-14,.004,
2015-04-08,Fridge,2018-04-08,.128,
2015-09-18,Furnace,2018-09-18,.175,
2011-10-14,Fridge,2014-10-14,.067,
2016-07-05,Fridge,2020-07-05,.029,
2016-03-01,Furnace,2020-03-01,.054,
2015-02-07,Wine Cellar,2017-02-07,.040,
2010-11-26,Dish Washer,2012-11-26,.001,
2011-04-29,Wine Cellar,2013-04-29,.007,
2013-09-08,Fridge,2015-09-08,.059,
2010-05-17,Furnace,2014-05-17,.068,
2010-03-15,Wine Cellar,2014-03-15,.007,
2010-07-22,Fridge,2014-07-22,.055,
2014-11-01,Garage door,2018-11-01,.015,
2010-05-24,Dish Washer,2012-05-24,.001,
2012-05-19,Furnace,2016-05-19,.021,
2014-06-25,Microwave,2018-06-25,.004,
2013-05-24,Garage door,2017-05-24,.014,
2016-11-12,Wine Cellar,2020-11-12,.017,
2010-04-27,Microwave,2012-04-27,.013,
2015-06-04,Furnace,2017-06-04,.027,
2011-06-05,Garage door,2015-06-05,.020,
2014-01-20,Garage door,2018-01-20,.013,
2011-05-12,Wine Cellar,2013-05-12,.007,
2013-10-28,Furnace,2015-10-28,.048,
2014-03-05,Fridge,2016-03-05,.023,
2012-08-30,Wine Cellar,2015-08-30,.024,
2012-10-27,Fridge,2016-10-27,.053,
2011-07-27,Garage door,2013-07-27,.014,
2014-08-10,Furnace,2017-08-10,.020,
2014-03-11,Furnace,2018-03-11,.020,
2010-10-04,Dish Washer,2012-10-04,.001,
2013-12-18,Wine Cellar,2016-12-18,.045,
2010-05-31,Furnace,2014-05-31,.063,
2012-10-12,Fridge,2015-10-12,.037,
2012-05-17,Dish Washer,2016-05-17,.001,
2013-10-30,Wine Cellar,2017-10-30,.030,
2011-06-08,Garage door,2014-06-08,.013,
2015-09-04,Wine Cellar,2019-09-04,.045,
2016-11-21,Dish Washer,2018-11-21,.369,
2016-08-27,Dish Washer,2018-08-27,.001,
2013-10-01,Microwave,2015-10-01,.004,
2011-01-19,Garage door,2014-01-19,.013,
2010-06-26,Wine Cellar,2013-06-26,.007,
2015-10-23,Wine Cellar,2018-10-23,.008,
2011-10-18,Wine Cellar,2014-10-18,.007,
2010-09-11,Microwave,2013-09-11,.004,
2016-04-05,Fridge,2019-04-05,.061,
2015-04-04,Furnace,2019-04-04,.020,
2015-04-26,Furnace,2019-04-26,.021,
2016-09-04,Wine Cellar,2019-09-04,.008,
2012-03-14,Garage door,2014-03-14,.014,
2015-02-09,Furnace,2019-02-09,.020,
2011-08-06,Wine Cellar,2013-08-06,.007,
2015-12-12,Dish Washer,2019-12-12,.001,
2014-05-02,Microwave,2016-05-02,.003,
2014-02-01,Garage door,2017-02-01,.015,
2012-11-17,Furnace,2016-11-17,.020,
2012-08-19,Fridge,2015-08-19,.098,
2013-01-17,Wine Cellar,2016-01-17,.064,
2010-07-24,Furnace,2014-07-24,.021,
2013-09-23,Wine Cellar,2016-09-23,.056,
2016-03-03,Furnace,2019-03-03,.181,
2014-07-29,Furnace,2018-07-29,.021,
2016-05-31,Dish Washer,2020-05-31,.238,
2014-12-02,Dish Washer,2016-12-02,.001,
2010-02-21,Wine Cellar,2013-02-21,.007,
2016-04-26,Furnace,2019-04-26,.137,
2015-08-24,Fridge,2019-08-24,.052,
2012-05-26,Dish Washer,2016-05-26,.001,
2012-09-23,Furnace,2016-09-23,.098,
2013-06-01,Fridge,2017-06-01,.125,
2016-07-29,Wine Cellar,2018-07-29,.015,
2010-07-04,Fridge,2014-07-04,.027,
2015-10-12,Fridge,2018-10-12,.046,
2016-02-12,Microwave,2018-02-12,.003,
2010-01-11,Dish Washer,2013-01-11,.001,
2011-10-13,Dish Washer,2015-10-13,.349,
2015-04-22,Dish Washer,2017-04-22,.364,
2010-01-12,Dish Washer,2013-01-12,.001,
2016-06-19,Furnace,2019-06-19,.020,
2013-05-01,Wine Cellar,2015-05-01,.068,
2010-01-22,Microwave,2012-01-22,.004,
2015-09-13,Furnace,2019-09-13,.185,
2014-02-08,Dish Washer,2016-02-08,.001,
2015-03-14,Garage door,2017-03-14,.013,
2014-10-29,Microwave,2018-10-29,.004,
2015-02-20,Furnace,2018-02-20,.039,
2014-10-03,Furnace,2017-10-03,.021,
2013-05-31,Fridge,2017-05-31,.053,
2014-01-16,Furnace,2018-01-16,.020,
2015-09-14,Microwave,2018-09-14,.016,
2010-04-22,Furnace,2012-04-22,.162,
2015-02-02,Wine Cellar,2018-02-02,.140,
2011-01-28,Wine Cellar,2014-01-28,.007,
2014-04-29,Microwave,2017-04-29,.004,
2011-05-27,Dish Washer,2015-05-27,.001,
2010-01-11,Furnace,2014-01-11,.020,
2016-10-12,Fridge,2018-10-12,.037,
2010-03-14,Wine Cellar,2014-03-14,.007,
2011-10-07,Fridge,2014-10-07,.071,
2016-11-06,Furnace,2019-11-06,.021,
2015-01-30,Wine Cellar,2019-01-30,.131,
2011-04-17,Dish Washer,2013-04-17,.001,
2010-05-18,Fridge,2014-05-18,.005,
2012-12-23,Microwave,2015-12-23,.013,
2012-06-28,Fridge,2014-06-28,.056,
2014-12-29,Microwave,2016-12-29,.075,
2010-04-26,Fridge,2014-04-26,.063,
2011-03-05,Furnace,2013-03-05,.257,
2013-12-07,Wine Cellar,2017-12-07,.060,
2014-12-03,Dish Washer,2016-12-03,.001,
2010-04-21,Furnace,2012-04-21,.222,
2015-11-06,Furnace,2019-11-06,.020,
2012-04-18,Wine Cellar,2016-04-18,.007,
2013-02-26,Garage door,2015-02-26,.013,
2010-09-24,Furnace,2012-09-24,.334,
2015-05-25,Fridge,2018-05-25,.055,
2011-12-04,Microwave,2014-12-04,.004,
2014-01-01,Dish Washer,2016-01-01,.001,
2015-05-31,Dish Washer,2019-05-31,.001,
2014-09-04,Fridge,2017-09-04,.005,
2014-01-16,Garage door,2016-01-16,.013,
2014-05-16,Dish Washer,2016-05-16,.001,
2011-02-26,Garage door,2014-02-26,.013,
2013-07-20,Wine Cellar,2017-07-20,.101,
2011-07-16,Dish Washer,2014-07-16,.001,
2010-05-29,Wine Cellar,2014-05-29,.011,
2016-05-15,Garage door,2019-05-15,.013,
2012-03-13,Dish Washer,2014-03-13,.001,
2010-05-07,Wine Cellar,2014-05-07,.007,
2012-12-01,Fridge,2014-12-01,.137,
2013-03-05,Garage door,2015-03-05,.013,
2011-04-17,Furnace,2014-04-17,.400,
2012-09-01,Wine Cellar,2014-09-01,.008,
2013-02-10,Furnace,2016-02-10,.020,
2014-10-10,Dish Washer,2016-10-10,.001,
2012-01-26,Furnace,2016-01-26,.345,
2011-01-18,Garage door,2014-01-18,.013,
2014-09-25,Dish Washer,2018-09-25,.001,
2015-09-27,Fridge,2018-09-27,.066,
2016-02-05,Microwave,2020-02-05,.003,
2013-11-21,Fridge,2015-11-21,.050,
2013-07-29,Dish Washer,2015-07-29,.001,
2015-06-16,Microwave,2017-06-16,.004,
2011-08-10,Wine Cellar,2014-08-10,.007,
2013-06-03,Fridge,2016-06-03,.066,
2016-10-27,Wine Cellar,2019-10-27,.008,
2014-01-26,Wine Cellar,2016-01-26,.083,
2013-07-27,Fridge,2016-07-27,.072,
2012-11-16,Furnace,2015-11-16,.021,
2012-11-05,Dish Washer,2015-11-05,.001,
2013-07-24,Microwave,2015-07-24,.021,
2010-08-29,Dish Washer,2014-08-29,.001,
2015-03-03,Garage door,2018-03-03,.013,
2016-01-06,Furnace,2018-01-06,.231,
2015-12-21,Fridge,2018-12-21,.169,
2010-09-22,Microwave,2014-09-22,.004,
2015-09-27,Furnace,2017-09-27,.597,
2014-03-25,Furnace,2016-03-25,.020,
2012-04-03,Fridge,2014-04-03,.040,
2016-01-24,Fridge,2018-01-24,.068,
2010-02-18,Microwave,2014-02-18,.207,
2015-04-09,Wine Cellar,2017-04-09,.043,
2011-02-15,Wine Cellar,2013-02-15,.069,
2012-12-16,Fridge,2014-12-16,.095,
2014-09-03,Dish Washer,2018-09-03,.001,
2011-09-03,Dish Washer,2013-09-03,.001,
2014-10-06,Furnace,2016-10-06,.024,
2014-03-30,Furnace,2017-03-30,.019,
2010-05-07,Fridge,2013-05-07,.143,
2014-09-08,Wine Cellar,2017-09-08,.008,
2013-02-27,Microwave,2015-02-27,.004,
2014-11-21,Dish Washer,2017-11-21,.001,
2012-06-12,Garage door,2015-06-12,.013,
2012-02-29,Fridge,2016-02-29,.047,
2012-08-03,Furnace,2014-08-03,.227,
2013-12-21,Furnace,2015-12-21,.020,
2010-03-04,Microwave,2012-03-04,.004,
2010-02-17,Microwave,2014-02-17,.004,
2010-03-02,Dish Washer,2012-03-02,.312,
2010-04-08,Furnace,2014-04-08,.101,
2016-11-17,Furnace,2018-11-17,.105,
2010-01-24,Furnace,2014-01-24,.126,
2010-07-15,Dish Washer,2012-07-15,.001,
2014-08-13,Garage door,2016-08-13,.018,
2015-07-24,Garage door,2018-07-24,.013,
2016-06-05,Garage door,2019-06-05,.013,
2010-12-10,Furnace,2013-12-10,.291,
2014-12-18,Furnace,2016-12-18,.020,
2010-11-02,Garage door,2012-11-02,.013,
2012-07-05,Wine Cellar,2014-07-05,.007,
2014-06-15,Furnace,2016-06-15,.020,
2013-01-07,Wine Cellar,2015-01-07,.007,
2012-04-27,Fridge,2015-04-27,.124,
2015-03-13,Fridge,2018-03-13,.070,
2012-12-25,Garage door,2015-12-25,.013,
2013-03-14,Wine Cellar,2017-03-14,.141,
2014-11-10,Wine Cellar,2018-11-10,.078,
2011-08-27,Dish Washer,2014-08-27,.314,
2010-02-21,Fridge,2013-02-21,.066,
2013-12-11,Microwave,2017-12-11,.004,
2010-10-11,Dish Washer,2014-10-11,.118,
2010-07-10,Garage door,2014-07-10,.013,
2011-07-15,Furnace,2014-07-15,.137,
2010-09-26,Fridge,2013-09-26,.168,
2013-05-08,Microwave,2017-05-08,.013,
2015-11-20,Microwave,2018-11-20,.007,
2012-12-27,Fridge,2014-12-27,.126,
2013-04-24,Dish Washer,2016-04-24,.001,
2011-05-01,Garage door,2015-05-01,.013,
2014-04-21,Fridge,2017-04-21,.096,
2013-10-17,Wine Cellar,2017-10-17,.009,
2010-04-03,Dish Washer,2013-04-03,.001,
2013-04-12,Dish Washer,2017-04-12,.001,
2011-06-02,Fridge,2014-06-02,.015,
2015-10-14,Dish Washer,2019-10-14,.001,
2012-08-29,Microwave,2014-08-29,.004,
2012-10-14,Fridge,2016-10-14,.110,
2016-03-13,Microwave,2019-03-13,.007,
2015-01-24,Dish Washer,2019-01-24,.001,
2010-09-12,Fridge,2013-09-12,.026,
2010-09-12,Wine Cellar,2014-09-12,.007,
2011-04-17,Fridge,2014-04-17,.042,
2015-12-15,Microwave,2017-12-15,.003,
2010-02-16,Dish Washer,2012-02-16,.169,
2010-04-13,Fridge,2014-04-13,.038,
2013-10-15,Furnace,2015-10-15,.020,
2013-08-10,Dish Washer,2015-08-10,.001,
2012-01-17,Furnace,2015-01-17,.045,
2015-02-07,Furnace,2018-02-07,.021,
2013-12-30,Wine Cellar,2015-12-30,.133,
2013-03-23,Dish Washer,2015-03-23,.001,
2013-10-06,Fridge,2017-10-06,.095,
2013-10-30,Furnace,2016-10-30,.050,
2015-06-28,Furnace,2018-06-28,.051,
2010-08-25,Garage door,2014-08-25,.013,
2012-01-04,Fridge,2015-01-04,.026,
2013-08-27,Wine Cellar,2016-08-27,.066,
2015-06-27,Furnace,2018-06-27,.021,
2013-01-12,Wine Cellar,2016-01-12,.008,
2012-04-18,Garage door,2014-04-18,.013,
2011-01-19,Wine Cellar,2013-01-19,.024,
2010-02-20,Garage door,2014-02-20,.013,
2012-07-11,Furnace,2015-07-11,.141,
2011-10-20,Wine Cellar,2015-10-20,.007,
2012-04-28,Fridge,2016-04-28,.050,
2016-09-20,Furnace,2018-09-20,.190,
2011-01-21,Microwave,2015-01-21,.004,
2011-06-08,Wine Cellar,2013-06-08,.007,
2014-12-15,Dish Washer,2016-12-15,.001,
2014-06-18,Wine Cellar,2017-06-18,.083,
2011-08-08,Dish Washer,2013-08-08,.001,
2013-02-27,Wine Cellar,2016-02-27,.134,
2014-09-02,Garage door,2017-09-02,.014,
2010-01-31,Garage door,2013-01-31,.013,
2012-07-27,Furnace,2016-07-27,.161,
2014-03-24,Furnace,2018-03-24,.327,
2012-04-08,Wine Cellar,2015-04-08,.067,
2010-05-19,Furnace,2012-05-19,.242,
2013-12-22,Microwave,2016-12-22,.004,
2014-12-12,Furnace,2018-12-12,.020,
2012-06-03,Garage door,2014-06-03,.017,
2016-05-23,Furnace,2019-05-23,.019,
2010-10-22,Garage door,2013-10-22,.013,
2016-06-13,Microwave,2020-06-13,.003,
2016-01-19,Furnace,2020-01-19,.021,
2011-01-08,Fridge,2013-01-08,.070,
2012-11-29,Furnace,2015-11-29,.519,
2014-11-13,Fridge,2018-11-13,.053,
